Content,Video title,Video publish time,Duration,Engaged views,Subscribers,Average percentage viewed (%),Impressions,Impressions click-through rate (%),Unique viewers,Average views per viewer,Returning viewers,Shares,Subscribers gained,Subscribers lost,Likes,Dislikes,Likes (vs. dislikes) (%),Comments added,Views,Watch time (hours),Average view duration
4vGDSZVlPOo,The Long Way…,"Jan 22, 2023",287,11,,27.3,687,1.16,,,,0,0,0,2,0,100,0,11,0.2394,0:01:18
yXQo1FJNJKk,A Bluer Shade of Blue,"Sep 21, 2023",136,11,,57.49,183,2.19,,,,0,0,0,1,0,100,0,11,0.2389,0:01:18
1biOuE5BZAg,Broken Heartzs Are Always Smashed to Bitzs,"Jan 14, 2023",210,10,,50.51,602,0.83,,,,0,0,0,1,0,100,0,10,0.2947,0:01:46
xUZLvVDf01o,Down,"Jan 12, 2023",151,10,,19.73,456,1.97,,,,0,0,0,1,0,100,0,10,0.0828,0:00:29
0lXwRBqWLlQ,Sun Hung Low,"Jul 16, 2023",163,8,,44.6,114,4.39,,,,1,0,0,2,0,100,0,8,0.1615,0:01:12
SKVcuPR-FG4,On the Sly,"Jan 28, 2023",164,8,,20.57,185,1.62,,,,0,0,0,1,0,100,0,8,0.075,0:00:33
j2T3jBc0oAE,Something Fine,"Jul 20, 2023",233,8,,33.64,89,4.49,,,,1,0,0,2,0,100,0,8,0.1742,0:01:18
l0HgWY1sovE,Come on In,"Jan 12, 2023",290,8,,50.07,55,5.45,,,,0,0,0,1,0,100,0,8,0.3227,0:02:25
3-q0R9mo_7Q,The Sun Is Falling Down on a Small Town,"Jan 23, 2023",198,7,,36.87,130,2.31,,,,0,0,0,2,0,100,0,7,0.1419,0:01:13
N5DadUDFiJQ,Imaghost,"Jul 19, 2023",226,7,,45.43,102,0,,,,0,0,0,2,0,100,0,7,0.1996,0:01:42
q2kYZuRbSdU,The Bigger Blue,"Jul 22, 2023",297,7,,38.12,77,2.6,,,,1,0,0,2,0,100,0,7,0.2201,0:01:53
qmkgfahN2Ck,The Sun King (Three Miles out of a Dream),"Jan 13, 2023",249,7,,11.28,148,2.03,,,,0,0,0,1,0,100,0,7,0.0546,0:00:28
BLycPDq-YeI,Its You,"Jan 28, 2023",75,6,,54.02,207,1.93,,,,0,0,0,1,0,100,0,6,0.0675,0:00:40
S4nM2uMMltQ,A Bluer Shade of Blue,"Jan 23, 2023",142,6,,45.73,286,1.4,,,,0,0,0,2,0,100,0,6,0.1082,0:01:04
Vz6mlG7126M,Potion of Flow,"Sep 15, 2025",319,6,,37.05,351,1.14,,,,0,0,0,1,0,100,0,6,0.197,0:01:58
7bim8RbHvEE,Down the Water,"Jul 13, 2023",269,5,,41.96,61,3.28,,,,0,0,0,1,0,100,0,5,0.1568,0:01:52
O9t4MkQ2MQ8,Anyone for Chess? (New Years Eve 1999),"Jan 13, 2023",219,5,,54.38,55,3.64,,,,0,0,0,1,0,100,0,5,0.1654,0:01:59
ZnpU01jEt3I,Broken Hearts Are Always Smashed to Bits (Silvery),"Jan 14, 2023",198,5,,23.43,129,2.33,,,,0,0,0,2,0,100,0,5,0.0644,0:00:46
